/ Dataset:E:\data\storage\2\5\1\4\0003\Acoustic properties (Vp, Vs, density) - CSV - Point Data.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,Access_Num,Sample_Num,District,Mode,Wet_Dry,Comments,Rock_type,Latitude,Longitude,Prop_Dir,Vib_Dir,Density,V_10,V_20,V_40,V_60,V_80,V_100,V_200,V_400,V_600,V_800,V_1000
-116,49.6700000009,2058.0,SA-1,"Sullivan Deposit, B.C.",P,D,"75 sph,10 gal,15 qtz gangue","Massive sulphide",49.7,-116.0,n.a.,n.a.,3.9,*,5.1,5.1,5.1,5.1,5.2,5.2,5.3,5.3,*,*,
-116,49.6700000009,2059.0,SA-2,"Sullivan Deposit, B.C.",P,D,"68 po,12 gal,<5 py,15 gangue","Massive sulphide",49.7,-116.0,n.a.,n.a.,4.3,4.8,4.8,4.9,5.0,5.0,5.1,5.2,5.2,5.2,*,*,
-116,49.6700000009,2060.0,SA-3,"Sullivan Deposit, B.C.",P,D,"45 po,25 py,5 gal,25 gangue; banded","Massive sulphide",49.7,-116.0,n.a.,n.a.,4.2,6.3,6.3,6.4,6.5,6.6,6.6,6.8,6.9,6.9,*,*,
-116,49.6700000009,2061.0,SA-4,"Sullivan Deposit, B.C.",P,D,"60 po,15 sph.25 qtz.etc gangue","Massive sulphide",49.7,-116.0,n.a.,n.a.,3.6,4.9,5.1,5.2,5.3,5.3,5.3,5.4,5.4,5.4,*,*,
-116,49.6700000009,2062.0,SA-5,"Sullivan Deposit, B.C.",P,D,"65 po,10 sph,5 py,20 qtz.etc gangue","Massive sulphide",49.7,-116.0,n.a.,n.a.,4.3,4.7,4.8,4.8,4.8,4.9,4.9,4.9,5.0,5.0,*,*,
-116,49.6700000009,2063.0,SA-6xy,"Sullivan Deposit, B.C.",P,D,"30 po,30 gal,30 sph,10 arg; laminated","Massive sulphide",49.7,-116.0,pF,n.a.,4.6,*,*,4.2,4.2,4.2,4.3,4.3,4.3,4.3,*,*,
-116,49.6700000009,2064.0,SA-6z,"Sullivan Deposit, B.C.",P,D,"30 po,30 gal,30 sph,10 arg; laminated","Massive sulphide",49.7,-116.0,nF,n.a.,4.8,4.4,4.5,4.5,4.6,4.6,4.6,4.7,4.7,4.7,*,*,
-116,49.6700000009,2065.0,SA-7,"Sullivan Deposit, B.C.",P,D,,"Fine pebble fragmental",49.7,-116.0,n.a.,n.a.,2.8,*,5.8,5.8,5.9,5.9,6.0,6.0,6.1,6.2,*,*,
-116,49.6700000009,2066.0,SA-8xy,"Sullivan Deposit, B.C.",P,D,laminated,"Carbonaceous wacke",49.7,-116.0,pF,n.a.,2.8,5.3,5.5,5.7,5.7,5.8,5.9,6.0,6.1,6.2,*,*,
-116,49.6700000009,2067.0,SA-8z,"Sullivan Deposit, B.C.",P,D,laminated,"Carbonaceous wacke",49.7,-116.0,nF,n.a.,2.7,5.0,5.3,5.6,5.7,5.8,5.8,6.0,6.1,6.1,*,*,
-116,49.6700000009,2068.0,SA-9,"Sullivan Deposit, B.C.",P,D,medium-grained,Gabbro,49.7,-116.0,n.a.,n.a.,3.0,5.5,5.7,6.1,6.3,6.4,6.5,6.8,6.9,7.0,*,*,
-116,49.6700000009,2069.0,SA-10,"Sullivan Deposit, B.C.",P,D,medium-grained,Gabbro,49.7,-116.0,n.a.,n.a.,3.0,5.3,5.5,6.0,6.5,6.6,6.7,6.9,7.0,7.0,*,*,
-116,49.6700000009,2070.0,SA-11,"Sullivan Deposit, B.C.",P,D,coarse-grained,Gabbro,49.7,-116.0,n.a.,n.a.,3.0,5.5,5.9,6.3,6.5,6.6,6.7,6.8,6.9,7.0,*,*,
-116,49.6700000009,2071.0,SA-12,"Sullivan Deposit, B.C.",P,D,fine-grained,Gabbro,49.7,-116.0,n.a.,n.a.,3.0,5.0,5.6,6.0,6.3,6.5,6.7,6.9,7.0,7.0,*,*,
-116,49.6700000009,2072.0,SA-13xy,"Sullivan Deposit, B.C.",P,D,"50 gal,30 sph,15 po,5 gangue","Massive sulphide",49.7,-116.0,pF,n.a.,5.6,3.7,3.7,3.8,3.8,3.9,3.9,3.9,4.0,4.0,*,*,
-116,49.6700000009,2073.0,SA-13z,"Sullivan Deposit, B.C.",P,D,"50 gal,30 sph,15 po,5 gangue","Massive sulphide",49.7,-116.0,nF,n.a.,5.5,4.1,4.2,4.3,4.3,4.3,4.3,4.4,4.4,4.5,*,*,
-116,49.6700000009,2074.0,SA-14xy,"Sullivan Deposit, B.C.",P,D,"90 po,10 gal","Massive sulphide",49.7,-116.0,pF,n.a.,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.9,4.9,5.0,*,*,
-116,49.6700000009,2075.0,SA-14z,"Sullivan Deposit, B.C.",P,D,"90 po,10 gal","Massive sulphide",49.7,-116.0,nF,n.a.,4.4,4.8,4.9,4.9,5.0,5.0,5.0,5.0,5.1,5.1,*,*,
-116,49.6700000009,2076.0,SA-15,"Sullivan Deposit, B.C.",P,D,,Tourmalinite,49.7,-116.0,n.a.,n.a.,3.0,5.9,6.0,6.2,6.3,6.4,6.4,6.5,6.6,6.7,*,*,
-116,49.6700000009,2077.0,SA-16,"Sullivan Deposit, B.C.",P,D,,Tourmalinite,49.7,-116.0,n.a.,n.a.,3.0,6.5,6.5,6.5,6.6,6.6,6.7,6.7,6.8,6.8,*,*,
